"","FID_","latitude","longitude","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"35279",9305,36.46401,-121.05761,"douglasii",144,189,54,5370,344,0,344,88,214,215,81,385,70,1,83,204,5,13,195
"35315",9735,40.58237,-122.43088,"douglasii",165,143,41,7006,366,22,344,86,257,257,81,1240,235,6,79,620,34,34,615
"35346",10073,35.52506,-120.01206,"douglasii",148,172,49,6091,348,0,348,86,228,228,75,423,81,1,85,231,5,5,221
"35351",10078,35.3607,-119.8337,"douglasii",130,149,47,5796,314,0,314,70,206,208,64,607,112,1,87,326,6,17,311
"35375",10265,37.2197,-119.765,"douglasii",157,156,45,6737,357,13,344,87,245,245,75,576,105,1,81,289,7,7,289
"35397",10303,35.55561,-118.74216,"douglasii",164,152,43,6935,357,10,347,93,256,256,82,355,63,1,80,184,8,8,172
"35441",10470,34.66667,-120.41667,"douglasii",145,121,63,2314,236,45,191,120,169,175,116,366,75,0,92,211,2,7,198
"35450",65980,39.995203,-121.876068,"douglasii",153,140,43,6494,340,18,322,81,238,238,76,957,175,2,78,474,23,23,465
"35470",68820,39.601856,-122.501451,"douglasii",149,160,45,6652,348,0,348,70,237,237,70,575,118,2,84,304,16,16,304
"35485",70073,39.166981,-122.86242,"douglasii",137,173,49,6144,343,-7,350,69,218,218,65,863,178,1,89,462,11,11,462
"35502",71714,37.142187,-121.218593,"douglasii",152,155,47,5877,340,15,325,79,227,228,79,384,75,1,83,198,5,12,198
"35506",72253,37.140235,-121.343607,"douglasii",150,155,48,5596,333,16,317,81,221,223,81,449,88,1,85,232,6,13,232
"35508",72255,37.524777,-121.745088,"douglasii",137,131,46,5479,307,26,281,77,209,212,77,642,118,2,83,320,10,16,320
"35574",75335,40.39443,-122.712362,"douglasii",148,156,44,6815,355,6,349,72,238,238,67,1044,196,5,80,530,28,28,522
"35577",75340,40.454444,-122.601494,"douglasii",160,148,43,6913,362,18,344,82,250,250,77,1081,205,5,80,545,29,29,539
"35600",78570,35.186492,-120.005754,"douglasii",137,154,50,5288,313,7,306,82,206,208,76,558,105,0,89,307,4,14,291
"35654",79451,37.245749,-119.717179,"douglasii",149,155,45,6677,347,5,342,71,237,237,71,711,131,1,82,361,9,9,361
"35669",79468,38.438113,-120.798661,"douglasii",150,153,46,6207,344,14,330,75,230,231,75,784,171,2,86,435,14,17,435
"35675",79474,37.522406,-120.026473,"douglasii",135,154,45,6519,333,-3,336,59,221,222,59,893,165,2,82,457,14,19,457
"35706",79510,38.517122,-120.784636,"douglasii",146,152,46,6291,339,9,330,70,227,228,70,869,176,3,83,458,15,21,458
"35729",8397,39,-122,"douglasii",162,159,47,6350,356,18,338,81,242,242,81,443,92,1,87,235,8,8,235
"35739",8422,40.2275,-122.45933,"douglasii",161,147,42,6915,361,18,343,83,252,252,78,793,149,4,78,394,24,24,393
"35806",10053,36.0726,-119.815,"douglasii",174,163,46,6843,373,19,354,105,260,260,86,168,33,0,81,93,1,1,88
"35842",69872,39.268192,-121.432512,"douglasii",159,139,42,6458,348,21,327,85,243,243,79,825,168,1,85,426,12,12,425
"35859",74814,37.774026,-120.557521,"douglasii",160,154,45,6419,357,21,336,80,242,242,80,463,85,1,81,228,7,7,228
"35901",9871,35.9816,-121.3482,"douglasii",129,156,63,3290,263,16,247,90,168,173,90,422,81,1,87,223,4,9,223
"35905",9875,35.9823,-121.3474,"douglasii",129,156,63,3290,263,16,247,90,168,173,90,422,81,1,87,223,4,9,223
"35928",76713,35.725863,-121.005974,"douglasii",134,163,60,3748,282,12,270,95,180,184,89,333,67,1,89,180,3,8,180
"35930",76715,36.001361,-121.188996,"douglasii",135,168,61,3828,285,10,275,95,182,185,89,345,67,1,89,184,3,8,183
"35934",77630,35.704761,-120.839566,"douglasii",134,175,57,4458,305,1,304,88,192,194,82,450,91,1,90,248,3,10,245
"35963",11082,33.3425,-118.3283,"dumosa",162,78,50,2751,243,89,154,133,191,201,133,293,57,0,91,161,3,6,152
"35970",11089,33.35627,-118.43648,"dumosa",161,76,49,2830,243,90,153,139,190,201,131,285,55,0,93,159,3,6,140
"35992",10671,34.16952,-117.68463,"dumosa",153,153,48,5819,332,14,318,92,229,233,86,670,134,2,92,382,9,20,361
"36009",10690,34.7672,-119.6134,"dumosa",105,116,45,5029,256,1,255,51,169,176,51,718,135,1,88,381,8,20,381
"36026",54006,35.0098,-120.0661,"dumosa",126,140,51,4777,284,10,274,75,187,192,73,666,125,1,90,365,5,16,350
"36027",54424,34.1887,-117.2734,"dumosa",173,163,50,5683,356,30,326,113,246,251,106,411,85,2,86,228,9,17,219
"36073",8713,37.97274,-122.61897,"dumosa",135,107,54,3344,239,44,195,98,174,178,93,1029,215,2,90,558,13,18,549
"36075",8715,37.95556,-122.58686,"dumosa",137,104,53,3331,238,45,193,99,175,178,94,1017,212,2,90,552,13,18,543
"36078",8718,38.5569,-122.6402,"dumosa",139,153,52,4978,310,17,293,78,202,202,78,1109,240,2,91,612,11,20,612
"36085",8940,37.2202,-122.033997,"dumosa",132,128,53,4068,269,30,239,87,184,188,87,926,188,2,88,492,11,16,492
"36086",8941,37.13333,-121.88333,"dumosa",128,131,50,4629,281,23,258,79,188,192,79,801,155,2,86,414,10,16,414
"36089",8944,37.1103,-121.8441,"dumosa",123,129,49,4862,280,18,262,73,187,191,72,751,138,2,84,377,10,17,376
"36113",9403,36.09559,-120.52238,"dumosa",151,187,51,6238,361,-3,364,88,233,233,76,340,66,1,85,183,3,3,181
"36114",9742,39.8424,-122.6256,"dumosa",151,161,46,6678,354,5,349,76,239,239,72,664,129,3,82,340,18,18,336
"36139",53287,37.2202,-122.0344,"dumosa",132,128,53,4068,269,30,239,87,184,188,87,926,188,2,88,492,11,16,492
"36145",53364,38,-122,"dumosa",150,124,50,4492,282,36,246,90,201,204,90,458,102,1,87,251,6,9,251
"36151",54005,35,-120,"dumosa",108,129,49,4846,263,2,261,57,171,176,57,768,143,1,88,412,7,19,412
"36154",54471,34.5167,-120.067,"dumosa",151,124,57,3269,263,46,217,115,190,196,113,486,102,0,96,288,2,8,267
"36171",12178,33.729828,-116.002235,"dumosa",189,164,45,7174,387,25,362,114,214,284,102,171,23,1,47,63,13,37,63
"36178",9158,37.0583,-122.080002,"dumosa",137,124,59,3164,246,38,208,97,174,178,97,780,171,2,90,436,9,14,436
"36193",53479,37.058334,-122.08,"dumosa",137,124,59,3164,246,38,208,97,174,178,97,780,171,2,90,436,9,14,436
"36213",10867,34.0843,-118.753,"dumosa",154,123,51,4112,286,48,238,111,205,213,109,543,113,0,94,306,5,13,300
"36215",10870,34.08333,-118.75,"dumosa",154,123,51,4112,286,48,238,111,205,213,109,543,113,0,94,306,5,13,300
"36224",10916,33.9337,-117.0341,"dumosa",168,163,50,5635,354,32,322,108,241,245,103,432,84,3,78,227,14,25,217
"36233",11001,33.6814,-117.361,"dumosa",173,149,51,4996,329,37,292,120,236,241,114,311,59,2,84,170,10,19,162
"36237",11005,33.71,-117.5194,"dumosa",124,138,48,5413,287,1,286,66,194,199,64,875,163,3,87,473,16,33,455
"36247",11156,33.1175,-117.28941,"dumosa",168,104,53,3236,263,67,196,132,204,212,129,293,59,1,87,164,5,10,152
"36251",11160,32.94317,-117.23969,"dumosa",169,96,51,3135,260,74,186,134,205,212,132,288,60,1,88,167,4,8,151
"36255",11164,32.8848,-117.2169,"dumosa",169,97,51,3164,261,74,187,133,204,213,131,296,62,1,91,172,4,8,154
"36259",11168,33.02139,-117.20889,"dumosa",170,106,52,3369,271,68,203,133,209,217,130,299,62,1,90,170,5,10,156
"36301",11350,33.450001,-117.110001,"dumosa",173,146,51,4850,325,43,282,122,234,240,116,331,64,2,83,180,11,20,169
"36303",11352,33.023605,-116.776115,"dumosa",152,153,51,5170,321,23,298,98,218,223,92,525,97,3,81,278,20,29,258
"36320",11371,32.8433,-116.4806,"dumosa",117,139,47,5845,286,-9,295,56,167,198,52,639,118,3,75,332,35,58,303
"36324",11375,32.684,-116.3338,"dumosa",138,152,47,6060,319,1,318,74,189,221,68,379,69,1,71,193,21,45,172
"36333",11384,32.6637,-116.2736,"dumosa",148,162,49,6085,335,7,328,85,200,232,78,332,61,1,71,173,18,43,149
"36336",11587,32.830002,-116.75,"dumosa",162,154,53,4785,325,39,286,111,223,229,108,454,85,3,82,241,15,22,221
"36339",11590,32.72917,-117.12083,"dumosa",173,94,51,3067,262,80,182,138,208,215,137,266,56,1,90,158,4,7,138
"36347",11598,32.8859,-117.2166,"dumosa",169,97,51,3164,261,74,187,133,204,213,131,296,62,1,91,172,4,8,154
"36358",11609,32.813,-116.8383,"dumosa",177,149,55,4186,324,56,268,132,228,236,129,347,66,2,84,185,8,14,171
"36359",11610,32.83583,-117.06833,"dumosa",171,117,53,3503,285,67,218,132,212,220,131,324,63,1,85,180,5,10,163
"36361",11612,32.87081,-117.16177,"dumosa",170,104,52,3271,270,72,198,134,207,216,132,295,61,1,90,171,4,8,153
"36362",11613,32.85802,-117.1804,"dumosa",170,99,52,3185,265,75,190,134,206,214,133,291,61,1,89,169,4,8,151
"36366",11617,32.7561,-116.86179,"dumosa",159,145,54,4375,310,44,266,113,214,221,110,445,84,3,81,236,11,17,217
"36386",11638,33.3764,-117.2511,"dumosa",170,132,53,4151,300,51,249,126,221,227,121,319,61,2,83,173,9,16,163
"36387",11639,32.79601,-117.16258,"dumosa",171,98,52,3147,265,77,188,136,206,215,134,289,60,1,88,168,4,8,149
"36392",11644,32.7341,-117.1295,"dumosa",171,97,52,3118,264,78,186,136,206,214,135,281,58,1,89,163,4,8,145
"36393",11645,32.6442,-116.7814,"dumosa",171,150,55,4255,321,50,271,124,224,230,122,320,60,2,83,170,8,12,157
"36409",54526,34.134533,-118.30477,"dumosa",172,132,52,4258,308,55,253,126,224,231,123,484,102,1,92,281,7,15,265
"36421",54876,33.45,-117.11,"dumosa",173,146,51,4850,325,43,282,122,234,240,116,331,64,2,83,180,11,20,169
"36428",56105,32.43,-116.16,"dumosa",138,143,45,6167,314,1,313,73,191,223,68,306,53,1,59,139,23,56,124
"36474",9801,39.9229,-123.0926,"durata",65,135,48,5118,235,-44,279,20,134,137,12,1465,247,6,77,728,42,58,660
"36482",9819,40.091,-123.2365,"durata",98,158,50,5613,290,-26,316,40,173,174,35,1270,223,4,81,652,31,47,630
"36500",10443,34.71598,-119.94781,"durata",114,123,49,4503,258,11,247,66,171,178,66,734,139,1,90,402,5,17,402
"36521",10719,34.1808,-117.6368,"durata",150,154,47,5941,331,10,321,88,227,232,81,684,136,2,90,387,10,22,366
"36527",10729,34.16281,-117.77937,"durata",167,154,50,5235,336,33,303,112,234,240,107,615,128,1,92,357,7,17,339
"36531",10737,34.18611,-117.98778,"durata",152,146,47,5749,324,17,307,92,226,232,86,591,115,1,90,333,8,19,312
"36539",10747,34.30139,-117.51111,"durata",141,156,46,6376,329,-5,334,75,225,227,67,578,110,2,86,315,12,24,301
"36542",10751,34.1698,-117.6916,"durata",153,153,48,5819,332,14,318,92,229,233,86,670,134,2,92,382,9,20,361
"36550",10766,34.3417,-118.0855,"durata",133,139,44,6205,309,-1,310,68,214,219,62,515,97,1,87,281,9,21,265
"36567",9747,39.5308,-121.240997,"durata",121,148,46,6048,309,-10,319,50,200,200,50,1518,300,2,84,788,22,22,788
"36570",9751,39.062031,-120.722717,"durata",121,134,44,6237,300,-3,303,52,204,206,52,1523,272,6,80,748,33,47,748
"36573",9757,39.5425,-121.2325,"durata",126,149,46,6081,315,-6,321,59,206,206,54,1546,302,2,84,794,23,23,793
"36580",9770,38.86965,-120.81677,"durata",142,143,44,6291,328,9,319,70,225,227,70,1155,216,4,81,576,21,32,576
"36589",9803,40.01001,-121.19467,"durata",118,173,48,6260,327,-27,354,41,199,199,41,1152,218,3,79,582,28,28,582
"36590",9805,39.5187,-121.2321,"durata",122,148,46,6061,311,-9,320,51,202,202,51,1551,304,2,84,800,23,23,800
"36592",9811,38.85044,-120.8106,"durata",143,145,45,6274,330,9,321,71,226,227,71,1115,210,4,81,557,21,31,557
"36614",8447,38.98056,-122.3777,"durata",145,167,48,6310,346,0,346,69,227,227,69,651,139,1,88,359,9,9,359
"36628",8462,38.4953,-122.244,"durata",149,152,49,5453,328,23,305,82,219,219,82,794,174,1,90,440,9,9,440
"36671",8747,39.1,-122.7833,"durata",130,167,48,6080,332,-10,342,64,211,211,60,888,182,2,87,473,12,12,473
"36673",8749,38.13404,-122.58667,"durata",139,127,55,3819,266,36,230,90,184,187,90,872,196,1,93,493,9,13,493
"36679",8755,38.58192,-122.39669,"durata",148,158,50,5390,328,18,310,81,216,216,81,879,192,1,91,491,9,9,491
"36682",8760,38.35583,-122.47333,"durata",140,142,52,4648,298,29,269,83,198,200,83,991,215,2,91,544,11,19,544
"36694",8772,39.08089,-122.48491,"durata",116,145,46,5875,303,-6,309,58,194,195,51,1048,207,2,85,548,16,27,546
"36698",8776,39.11317,-122.49546,"durata",129,157,47,6157,326,-6,332,58,211,211,58,854,175,2,86,455,14,14,455
"36701",8779,38.83885,-122.74155,"durata",124,153,49,5536,311,0,311,66,198,198,61,1047,215,2,87,557,14,25,556
"36705",8784,39.00167,-123.08472,"durata",139,160,51,5295,324,11,313,76,209,209,76,1004,212,2,89,546,12,22,546
"36707",8786,38.555,-122.4551,"durata",141,144,49,5292,316,24,292,77,208,209,77,1013,220,1,91,558,11,19,558
"36713",8795,39.15944,-122.48667,"durata",134,162,47,6317,334,-6,340,61,219,219,61,750,156,1,87,405,12,12,405
"36741",8828,38.6634,-122.6084,"durata",116,134,48,5237,287,8,279,65,185,187,59,1162,233,2,87,614,15,27,608
"36773",8866,38.9173,-123.0571,"durata",144,155,51,5045,320,19,301,83,209,209,83,999,212,2,89,545,12,22,545
"36781",8954,37.17567,-121.86436,"durata",137,137,52,4413,286,26,260,86,193,197,86,874,181,2,90,468,10,16,468
"36782",8955,37.08507,-121.70479,"durata",146,145,54,4285,291,26,265,92,198,201,92,588,122,2,88,315,7,12,315
"36819",9089,37.562,-121.60981,"durata",134,131,45,5823,312,21,291,73,211,214,71,630,113,2,81,309,10,17,309
"36826",9315,37.38329,-121.69044,"durata",140,139,48,5354,312,24,288,80,210,213,80,636,122,2,84,325,9,15,325
"36829",9406,36.1911,-120.6881,"durata",132,195,54,5815,343,-18,361,73,209,210,65,514,98,1,87,271,5,15,266
"36840",9783,39.91778,-122.67639,"durata",103,153,47,6025,297,-26,323,41,183,184,36,1116,199,3,79,562,27,40,549
"36841",9785,39.40639,-122.61111,"durata",129,162,47,6281,329,-11,340,62,213,213,57,847,169,2,85,446,16,16,444
"36869",10098,36.33611,-120.605,"durata",108,160,50,5647,301,-17,318,49,184,186,49,845,156,2,85,436,10,22,427
"36888",10117,36.4159,-120.6726,"durata",125,178,51,5911,332,-14,346,64,204,205,60,630,117,1,85,327,7,18,321
"36897",10386,39.270027,-121.344276,"durata",158,138,42,6507,347,20,327,83,242,242,78,873,174,1,84,448,13,13,445
"36905",10402,38.77278,-121.03833,"durata",160,140,43,6231,345,25,320,82,238,239,82,692,142,1,84,358,11,15,358
"36912",8441,39.177738,-122.237564,"durata",158,162,48,6241,350,13,337,80,237,237,80,450,96,1,86,245,10,10,245
"36937",9194,37.4062,-122.2053,"durata",141,112,54,3438,245,40,205,96,181,184,96,536,109,2,87,282,8,12,282
"36950",10699,34.24139,-118.30139,"durata",164,143,50,5046,321,35,286,110,227,233,105,553,111,1,90,316,8,18,293
"36954",10708,34.23736,-118.27822,"durata",164,144,50,5089,323,35,288,111,229,235,105,553,111,1,90,316,8,18,293
"36956",10712,34.23083,-118.31056,"durata",162,141,49,5034,319,35,284,109,226,232,104,563,112,1,92,321,8,18,298
"36969",10745,34.1419,-117.7294,"durata",166,154,50,5325,336,32,304,109,233,239,104,624,129,2,91,361,8,18,341
"36977",10765,34.21694,-118.28111,"durata",150,136,46,5591,315,22,293,91,222,228,86,554,107,1,89,309,8,18,289
"36981",10926,34.14389,-117.69821,"durata",170,156,51,5197,339,36,303,115,236,242,109,584,122,2,93,340,8,17,321
"37001",10946,34.155,-118.18083,"durata",174,140,52,4377,318,53,265,127,227,235,123,519,110,1,93,308,7,16,286
"37006",12585,21.359,-103.214,"eduardii",191,177,63,2707,327,49,278,216,182,222,152,796,216,5,111,537,20,378,40
"37009",13037,24.545,-105.848,"eduardii",203,145,58,3504,321,74,247,234,185,242,154,796,189,6,91,481,29,285,119
"37021",58424,20.38,-104.82,"eduardii",212,156,66,2220,323,88,235,232,197,235,181,1045,225,10,98,651,34,609,67
"37023",12617,21.328,-101.527,"eduardii",160,149,62,2437,279,39,240,175,156,188,126,710,150,12,90,409,41,184,48
"37025",12615,21.057,-101.168,"eduardii",143,143,63,2139,256,32,224,153,141,168,113,817,169,12,92,475,43,219,47
"37027",12618,21.047,-101.272,"eduardii",166,146,63,2261,280,50,230,178,145,192,134,729,154,9,96,433,34,193,37
"37030",12626,20.195,-103.289,"eduardii",192,144,62,2154,304,74,230,209,186,215,160,743,178,6,105,473,19,190,35
"37034",12641,19.9,-102.775,"eduardii",183,152,63,2168,298,59,239,201,179,207,152,872,203,9,96,531,28,224,47
"37040",58901,20.534,-99.82,"eduardii",178,172,67,2497,303,47,256,199,144,206,143,519,99,5,81,285,28,169,35
"37044",12524,22.166,-102.557,"eduardii",150,159,64,2499,269,22,247,166,140,178,114,646,155,7,96,398,28,273,52
"37049",58418,21.89,-103.86,"eduardii",142,147,62,2561,258,22,236,160,130,172,106,594,155,2,104,399,12,224,58
"37050",58419,21.89,-103.87,"eduardii",133,143,61,2524,247,16,231,151,122,162,97,608,158,2,104,405,13,228,61
"37051",58420,21.89,-103.91,"eduardii",169,155,62,2634,290,43,247,187,157,199,132,719,190,3,108,488,18,300,59
"37053",12498,23.467,-104.1,"eduardii",155,154,59,3508,280,21,259,185,138,196,107,531,135,3,104,350,13,214,38
"37054",12499,23.328,-104.2,"eduardii",149,149,59,3386,268,19,249,178,132,187,101,523,135,2,103,337,12,207,39
"37056",12501,23.35,-104.15,"eduardii",157,151,59,3480,278,25,253,187,140,196,109,526,135,2,104,339,12,212,40
"37060",12506,23.338,-104.171,"eduardii",157,150,59,3465,277,26,251,186,140,196,109,528,136,2,102,340,12,213,40
"37063",12509,23.4,-104.15,"eduardii",149,152,60,3418,270,17,253,178,132,187,101,520,133,3,103,340,12,206,37
"37066",12512,23.306,-104.15,"eduardii",164,150,59,3552,285,32,253,193,146,204,114,526,136,2,105,337,13,213,41
"37068",12514,23.31,-104.167,"eduardii",162,150,59,3536,284,31,253,192,145,202,113,527,136,2,105,338,13,214,41
"37070",12516,23.393,-104.153,"eduardii",149,152,60,3418,270,17,253,178,132,187,101,520,133,3,103,340,12,206,37
"37072",12518,23.391,-104.21,"eduardii",146,150,59,3378,266,15,251,175,129,184,99,511,131,3,103,334,12,198,36
"37076",13034,23.25,-104.183,"eduardii",158,149,59,3438,276,27,249,195,140,196,109,540,139,2,102,344,13,218,45
"37082",13063,23.233,-104.167,"eduardii",165,149,59,3514,284,33,251,202,147,204,115,538,139,2,104,345,13,219,45
"37087",12482,25.1,-105.417,"eduardii",178,190,61,4151,327,16,311,218,156,227,122,445,119,3,107,310,11,270,39
"37092",13038,25.245,-106.422,"eduardii",189,140,58,3333,304,66,238,218,194,225,142,1065,249,8,88,633,39,370,177
"37093",13040,23.233,-104.6,"eduardii",182,135,57,3524,294,59,235,212,190,221,132,674,166,3,97,429,22,246,79
"37101",13055,23.667,-105.3,"eduardii",169,129,57,3260,277,54,223,199,175,206,124,956,206,6,88,576,38,513,141
"37105",13065,25.35,-106.45,"eduardii",206,153,58,3572,330,70,260,236,211,245,155,977,234,7,93,603,34,355,138
"37110",13077,24.895,-106.118,"eduardii",171,130,58,3217,280,57,223,199,176,205,125,1037,245,9,91,634,43,335,179
"37111",13079,23.417,-105.033,"eduardii",153,130,58,3241,261,37,224,184,156,190,108,949,208,5,88,575,38,511,140
"37116",12486,25.35,-100.15,"eduardii",199,133,52,4286,319,67,252,228,141,249,141,704,172,14,82,359,47,288,47
"37121",12563,23.7,-99.36667,"eduardii",186,144,60,3383,295,55,240,216,138,221,138,712,162,13,79,358,50,284,50
"37124",12460,24.805,-104.918,"eduardii",164,182,62,3710,306,17,289,197,146,206,113,486,111,2,103,326,12,273,29
"37125",12473,24.247,-99.996,"eduardii",161,159,67,2578,273,37,236,183,128,189,124,578,109,16,63,250,57,209,57
"37126",12474,24.24667,-99.99611,"eduardii",161,159,67,2578,273,37,236,183,128,189,124,578,109,16,63,250,57,209,57
"37128",12491,23.632,-103.642,"eduardii",160,173,61,3506,296,14,282,188,143,200,110,618,140,5,95,384,21,240,54
"37131",12596,23.7,-100.91,"eduardii",158,175,67,2941,288,28,260,191,150,191,116,311,46,8,54,128,35,128,42
"37139",57274,22.63,-100.58,"eduardii",201,168,64,3004,325,65,260,229,172,231,158,487,85,10,70,234,43,224,50
"37140",58423,24.034,-104.678,"eduardii",176,144,57,3554,297,46,251,205,160,216,126,469,116,5,99,307,18,171,36
"37142",13053,23,-104,"eduardii",177,154,60,3523,298,42,256,215,161,216,128,537,140,2,104,351,16,221,53
"37144",12531,21.783,-102.72,"eduardii",189,185,64,2919,326,41,285,209,179,222,148,646,156,4,102,412,18,278,36
"37146",12584,22.31,-103.295,"eduardii",154,162,62,2844,278,20,258,175,141,186,114,504,128,2,97,320,14,195,54
"37151",13071,22.135,-102.414,"eduardii",168,173,64,2870,296,26,270,189,157,199,127,503,113,6,94,304,21,212,37
"37152",57275,21.45,-101.17,"eduardii",171,163,63,2585,295,38,257,194,146,199,135,575,184,6,106,358,25,210,27
"37153",12522,22.71,-103.123,"eduardii",144,162,63,2863,268,11,257,166,132,176,103,459,117,4,93,281,23,168,56
"37164",57551,20.6,-99.11,"eduardii",163,154,66,2267,277,45,232,177,144,189,132,532,99,10,72,241,37,186,44
"37169",12687,20.533,-98.7,"eduardii",180,153,64,2507,292,55,237,198,145,206,145,445,108,4,83,218,19,146,19
"37170",57548,20.14,-98.43,"eduardii",151,148,67,1854,260,42,218,159,127,174,126,570,109,8,74,267,27,195,33
"37171",57550,20.52,-98.63,"eduardii",173,150,64,2446,284,51,233,190,139,199,139,481,121,6,82,239,25,147,25
"37172",12451,26.117477,-81.341149,"elliottii",232,114,53,3620,328,115,213,273,193,275,182,1341,246,37,67,647,127,601,131
"37173",11579,34,-80,"elliottii",171,132,40,7080,328,4,324,259,126,259,76,1173,141,63,23,394,218,394,271
"37174",12263,32.619999,-81.32,"elliottii",185,131,41,6555,335,23,312,266,144,266,97,1227,152,60,28,430,207,430,282
"37175",12264,32.799999,-81.120003,"elliottii",182,134,42,6595,333,18,315,264,141,264,94,1247,155,60,28,442,210,442,280
"37176",12265,32.621899,-81.321297,"elliottii",185,131,41,6555,335,23,312,266,144,266,97,1227,152,60,28,430,207,430,282
"37177",12266,32.62,-81.32,"elliottii",185,131,41,6555,335,23,312,266,144,266,97,1227,152,60,28,430,207,430,282
"37178",12267,32.62188,-81.3213,"elliottii",185,131,41,6555,335,23,312,266,144,266,97,1227,152,60,28,430,207,430,282
"37179",12268,32.8,-81.12,"elliottii",182,134,42,6595,333,18,315,264,141,264,94,1247,155,60,28,442,210,442,280
"37180",12269,30.633287,-86.866422,"elliottii",192,112,40,6266,322,43,279,269,153,269,110,1557,180,87,22,504,297,504,364
"37181",12270,30.450753,-86.135853,"elliottii",195,115,41,6177,324,47,277,268,157,270,114,1552,196,86,27,537,293,533,352
"37182",12292,30.579745,-84.613534,"elliottii",193,129,44,6052,327,38,289,266,155,266,112,1464,184,74,24,482,262,482,354
"37183",12293,30.45846,-84.27767,"elliottii",194,131,45,5976,329,40,289,267,157,267,115,1495,191,73,26,509,264,509,353
"37184",12294,30.438088,-83.89532,"elliottii",193,133,46,5919,327,38,289,265,156,265,113,1448,183,67,26,496,257,496,352
"37185",12295,30.795806,-85.215887,"elliottii",193,134,45,6188,331,35,296,267,154,267,109,1433,171,73,22,454,269,454,366
"37186",12314,30.241138,-84.883083,"elliottii",196,127,45,5913,327,45,282,265,161,268,117,1524,201,82,28,533,271,531,339
"37187",12315,30.191212,-84.925561,"elliottii",197,126,44,5893,328,46,282,266,162,269,119,1533,203,82,29,543,274,538,339
"37188",12316,30.176771,-84.986685,"elliottii",197,126,44,5877,328,47,281,266,162,268,119,1550,206,83,29,553,279,547,342
"37189",12317,30.251267,-84.861605,"elliottii",196,127,44,5924,327,44,283,268,160,268,117,1520,200,82,28,528,271,528,339
"37190",12318,30.176693,-84.985898,"elliottii",197,126,44,5877,328,47,281,266,162,268,119,1550,206,83,29,553,279,547,342
"37191",12325,30.047704,-83.602581,"elliottii",200,135,47,5704,332,47,285,269,167,269,124,1444,207,60,37,564,225,564,314
"37192",12333,30.170565,-84.403944,"elliottii",198,128,45,5880,329,46,283,269,162,269,120,1514,203,78,30,541,262,541,335
"37193",12334,30.405886,-85.197359,"elliottii",194,133,46,5985,329,40,289,267,158,267,114,1522,196,84,26,520,276,520,348
"37194",12335,29.890147,-84.799665,"elliottii",200,117,43,5758,324,55,269,268,166,269,123,1504,204,81,34,578,268,544,315
"37195",12336,29.953504,-85.22405,"elliottii",200,115,42,5846,324,55,269,268,166,271,122,1552,212,80,34,591,288,564,331
"37196",12337,30.127335,-85.058821,"elliottii",198,125,44,5846,327,49,278,266,163,269,120,1567,211,84,31,569,284,560,344
"37197",12338,30.120981,-84.988029,"elliottii",198,124,44,5876,327,49,278,266,163,269,119,1552,208,83,30,563,280,552,340
"37198",12339,30.060414,-85.031234,"elliottii",198,122,44,5853,326,51,275,267,163,269,120,1563,211,84,32,578,283,561,339
"37199",12340,30.045465,-85.012962,"elliottii",199,121,44,5824,326,51,275,267,165,269,121,1554,210,83,32,577,281,558,336
"37200",12391,29.323601,-82.736534,"elliottii",206,136,50,5246,330,58,272,269,177,269,136,1387,217,51,47,587,192,587,274
"37201",12436,29.970586,-81.490709,"elliottii",207,111,42,5290,329,70,259,269,148,271,136,1267,176,56,39,500,200,484,233
"37202",12437,28.091889,-80.953009,"elliottii",222,109,48,4253,325,100,225,271,176,272,164,1247,178,47,44,506,167,497,175
"37203",12445,28.309362,-82.390644,"elliottii",219,118,49,4571,328,88,240,273,195,273,157,1379,216,55,51,602,184,602,221
"37204",56285,29.715217,-82.44625,"elliottii",204,132,48,5336,329,55,274,267,173,267,132,1333,202,55,42,547,189,547,277
"37205",56286,29.715133,-82.4465,"elliottii",204,132,48,5336,329,55,274,267,173,267,132,1333,202,55,42,547,189,547,277
"37235",62270,43.618984,-84.181626,"ellipsoidalis",79,109,28,9735,281,-104,385,191,-50,201,-50,773,93,34,26,244,125,228,125
"37326",63255,43.245683,-85.952434,"ellipsoidalis",83,107,29,9337,275,-92,367,154,-31,199,-41,864,99,37,22,269,153,237,160
"37332",64067,43.847555,-86.428167,"ellipsoidalis",79,105,29,9146,269,-92,361,152,-33,193,-42,840,97,39,23,273,147,232,159
"37387",51805,43.429333,-93.266367,"ellipsoidalis",69,115,25,11532,284,-161,445,210,-89,210,-89,813,113,20,50,330,69,330,69
"37420",51955,41.68224,-94.047264,"ellipsoidalis",93,123,28,10790,302,-129,431,204,-56,224,-56,833,122,21,48,325,73,322,73
"37428",51963,42.075035,-91.602455,"ellipsoidalis",90,117,27,10674,295,-128,423,219,-58,219,-58,892,117,27,43,335,93,335,93
"37451",61869,43.754757,-92.434708,"ellipsoidalis",65,116,26,11156,277,-160,437,201,-87,201,-87,813,112,20,49,328,70,328,70
"37464",7586,47.701055,-93.059877,"ellipsoidalis",30,131,27,11784,257,-221,478,172,-133,172,-133,677,106,15,56,301,61,301,61
